,original subtotal,discount,net subtotal,tax,shipping,area,notes,tender,payment cash,payment card,payment gift card,payment store credit,payment check,payment other,payment total,gift card sold,gift card used
1067,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1068,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1069,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1070,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1071,15.00,0.00,15.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,15.00,,
1072,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1073,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1074,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1075,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1076,1.00,0.00,1.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,
1077,13.00,0.00,13.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,13.00,,
1078,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1079,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
1080,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1081,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1082,15.00,0.00,15.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,15.00,,
1083,10.00,0.00,10.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,10.00,,
1084,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1085,30.00,0.00,30.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,30.00,,
1086,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
1087,15.00,0.00,15.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,15.00,,
1088,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
1089,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
1090,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1091,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1092,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1093,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1094,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1095,15.00,0.00,15.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,15.00,,
1096,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1097,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1098,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1099,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1100,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
1101,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
1102,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1103,50.00,0.00,50.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,50.00,,
1104,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1105,25.00,0.00,25.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,25.00,,
1106,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
1107,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
1108,10.00,0.00,10.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,10.00,,
1109,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
1110,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
1111,65.00,0.00,65.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,65.00,,
1112,435.00,0.00,435.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,435.00,,
1113,2000.00,0.00,2000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,,
1114,2000.00,0.00,2000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,,
1115,965.00,0.00,965.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,965.00,,
1116,4000.00,0.00,4000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,,
1117,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
1118,2000.00,0.00,2000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,,
1119,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
1120,1000.00,0.00,1000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,,
1121,2035.00,0.00,2035.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,2035.00,,
145655,135.00,0.00,135.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,135.00,,
145733,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
145893,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
146005,100.00,0.00,100.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,100.00,,
146138,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
146605,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
147428,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
148130,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
148177,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
148974,1000.00,0.00,1000.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,,
149234,27.00,0.00,27.00,1.69,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,28.69,,
149235,27.00,0.00,27.00,1.69,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,28.69,,
149236,27.00,0.00,27.00,1.69,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,28.69,,
149237,27.00,0.00,27.00,1.69,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,28.69,,
149510,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
150006,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
150291,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
150324,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
150874,20.00,0.00,20.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,
151299,35.00,0.00,35.00,0.00,,pos,,cc,0.00,0.00,0.00,0.00,0.00,0.00,35.00,,
